2025-09-05 18:42:17 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-05 18:42:35 | __main__             | ERROR    | main                 | Failed to start enhanced bot: RequestService.__init__() got an unexpected keyword argument 'storage'
2025-09-05 18:43:03 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-05 18:43:03 | utils.cache_manager  | INFO     | __init__             | Cache Manager initialized: TTL={'enabled': True, 'type': 'memory', 'ttl': {'requests': 300, 'users': 600, 'stats': 180, 'duplicates': 120}, 'max_size': 1000, 'cleanup_interval': 300, 'redis_config': {'host': 'localhost', 'port': 6379, 'db': 0, 'password': None, 'decode_responses': True}}s, Memory=100MB
2025-09-05 18:43:03 | core.storage_manager | INFO     | __init__             | Cache mode enabled
2025-09-05 18:43:03 | __main__             | INFO     | _init_core_components | ✅ Core components initialized
2025-09-05 18:43:03 | __main__             | ERROR    | _init_services       | ❌ Failed to initialize services: 'EnhancedPirateBot' object has no attribute 'duplicate_detector'
2025-09-05 18:43:03 | __main__             | ERROR    | main                 | Failed to start enhanced bot: 'EnhancedPirateBot' object has no attribute 'duplicate_detector'
2025-09-05 18:43:15 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-05 18:43:15 | utils.cache_manager  | INFO     | __init__             | Cache Manager initialized: TTL={'enabled': True, 'type': 'memory', 'ttl': {'requests': 300, 'users': 600, 'stats': 180, 'duplicates': 120}, 'max_size': 1000, 'cleanup_interval': 300, 'redis_config': {'host': 'localhost', 'port': 6379, 'db': 0, 'password': None, 'decode_responses': True}}s, Memory=100MB
2025-09-05 18:43:15 | core.storage_manager | INFO     | __init__             | Cache mode enabled
2025-09-05 18:43:15 | __main__             | INFO     | _init_core_components | ✅ Core components initialized
2025-09-05 18:43:15 | utils.duplicate_detector | INFO     | __init__             | Duplicate Detector initialized with threshold: 0.8
2025-09-05 18:43:15 | utils.keyboards      | INFO     | __init__             | Keyboard Builder initialized
2025-09-05 18:43:15 | __main__             | INFO     | _init_utils          | ✅ Utils initialized
2025-09-05 18:43:15 | services.request_service | INFO     | __init__             | Request Service initialized
2025-09-05 18:43:15 | services.rating_service | INFO     | __init__             | Rating Service initialized
2025-09-05 18:43:15 | services.search_service | INFO     | __init__             | Search Service initialized
2025-09-05 18:43:15 | services.user_service | INFO     | __init__             | User Service initialized
2025-09-05 18:43:15 | __main__             | INFO     | _init_services       | ✅ Services initialized
2025-09-05 18:43:15 | __main__             | INFO     | _create_application  | ✅ Telegram Application created
2025-09-05 18:43:15 | __main__             | INFO     | _setup_handlers      | ✅ Handlers configured
2025-09-05 18:43:15 | __main__             | INFO     | _init_background_tasks | 🔄 Background tasks initialized
2025-09-05 18:43:15 | __main__             | INFO     | __init__             | ✅ Enhanced Pirate Bot initialized successfully
2025-09-05 18:43:15 | __main__             | INFO     | run                  | 🚀 Starting Enhanced Pirate Content Bot
2025-09-05 18:43:15 | __main__             | INFO     | health_check         | ✅ System health check passed
2025-09-05 18:43:16 | __main__             | INFO     | setup_bot_commands   | ✅ Bot commands configured
2025-09-05 18:43:16 | __main__             | INFO     | run                  | 🎬 Bot is now running!
2025-09-05 18:43:16 | __main__             | INFO     | start_background_tasks | 🔄 Starting background tasks
2025-09-05 18:44:16 | __main__             | ERROR    | _notification_check_task | ❌ Error in notification task: 'NoneType' object has no attribute 'process_pending_notifications'
2025-09-05 18:46:00 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-05 18:46:00 | utils.cache_manager  | INFO     | __init__             | Cache Manager initialized: TTL={'enabled': True, 'type': 'memory', 'ttl': {'requests': 300, 'users': 600, 'stats': 180, 'duplicates': 120}, 'max_size': 1000, 'cleanup_interval': 300, 'redis_config': {'host': 'localhost', 'port': 6379, 'db': 0, 'password': None, 'decode_responses': True}}s, Memory=100MB
2025-09-05 18:46:00 | core.storage_manager | INFO     | __init__             | Cache mode enabled
2025-09-05 18:46:00 | __main__             | INFO     | _init_core_components | ✅ Core components initialized
2025-09-05 18:46:00 | utils.duplicate_detector | INFO     | __init__             | Duplicate Detector initialized with threshold: 0.8
2025-09-05 18:46:00 | utils.keyboards      | INFO     | __init__             | Keyboard Builder initialized
2025-09-05 18:46:00 | __main__             | INFO     | _init_utils          | ✅ Utils initialized
2025-09-05 18:46:00 | services.request_service | INFO     | __init__             | Request Service initialized
2025-09-05 18:46:00 | services.rating_service | INFO     | __init__             | Rating Service initialized
2025-09-05 18:46:00 | services.search_service | INFO     | __init__             | Search Service initialized
2025-09-05 18:46:00 | services.user_service | INFO     | __init__             | User Service initialized
2025-09-05 18:46:00 | __main__             | INFO     | _init_services       | ✅ Services initialized
2025-09-05 18:46:00 | __main__             | INFO     | _create_application  | ✅ Telegram Application created
2025-09-05 18:46:00 | __main__             | INFO     | _setup_handlers      | ✅ Handlers configured
2025-09-05 18:46:00 | __main__             | INFO     | _init_background_tasks | 🔄 Background tasks initialized
2025-09-05 18:46:00 | __main__             | INFO     | __init__             | ✅ Enhanced Pirate Bot initialized successfully
2025-09-05 18:46:00 | __main__             | INFO     | run                  | 🚀 Starting Enhanced Pirate Content Bot
2025-09-05 18:46:00 | __main__             | INFO     | health_check         | ✅ System health check passed
2025-09-05 18:46:00 | __main__             | INFO     | setup_bot_commands   | ✅ Bot commands configured
2025-09-05 18:46:00 | __main__             | INFO     | run                  | 🎬 Bot is now running!
2025-09-05 18:46:00 | __main__             | INFO     | start_background_tasks | 🔄 Starting background tasks
2025-09-05 18:46:10 | __main__             | INFO     | shutdown             | 🛑 Initiating graceful shutdown
2025-09-05 18:46:10 | __main__             | ERROR    | shutdown             | ❌ Error during shutdown: 'CacheManager' object has no attribute 'save_state'
2025-09-05 18:46:10 | __main__             | INFO     | cleanup_resources    | 🧹 Resources cleaned up successfully
2025-09-05 18:46:22 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-05 18:46:22 | utils.cache_manager  | INFO     | __init__             | Cache Manager initialized: TTL={'enabled': True, 'type': 'memory', 'ttl': {'requests': 300, 'users': 600, 'stats': 180, 'duplicates': 120}, 'max_size': 1000, 'cleanup_interval': 300, 'redis_config': {'host': 'localhost', 'port': 6379, 'db': 0, 'password': None, 'decode_responses': True}}s, Memory=100MB
2025-09-05 18:46:22 | core.storage_manager | INFO     | __init__             | Cache mode enabled
2025-09-05 18:46:22 | __main__             | INFO     | _init_core_components | ✅ Core components initialized
2025-09-05 18:46:22 | utils.duplicate_detector | INFO     | __init__             | Duplicate Detector initialized with threshold: 0.8
2025-09-05 18:46:22 | utils.keyboards      | INFO     | __init__             | Keyboard Builder initialized
2025-09-05 18:46:22 | __main__             | INFO     | _init_utils          | ✅ Utils initialized
2025-09-05 18:46:22 | services.request_service | INFO     | __init__             | Request Service initialized
2025-09-05 18:46:22 | services.rating_service | INFO     | __init__             | Rating Service initialized
2025-09-05 18:46:22 | services.search_service | INFO     | __init__             | Search Service initialized
2025-09-05 18:46:22 | services.user_service | INFO     | __init__             | User Service initialized
2025-09-05 18:46:22 | __main__             | INFO     | _init_services       | ✅ Services initialized
2025-09-05 18:46:22 | __main__             | INFO     | _create_application  | ✅ Telegram Application created
2025-09-05 18:46:22 | __main__             | INFO     | _setup_handlers      | ✅ Handlers configured
2025-09-05 18:46:22 | __main__             | INFO     | _init_background_tasks | 🔄 Background tasks initialized
2025-09-05 18:46:22 | __main__             | INFO     | __init__             | ✅ Enhanced Pirate Bot initialized successfully
2025-09-05 18:46:22 | __main__             | INFO     | run                  | 🚀 Starting Enhanced Pirate Content Bot
2025-09-05 18:46:22 | __main__             | INFO     | health_check         | ✅ System health check passed
2025-09-05 18:46:22 | __main__             | INFO     | setup_bot_commands   | ✅ Bot commands configured
2025-09-05 18:46:22 | __main__             | INFO     | run                  | 🎬 Bot is now running!
2025-09-05 18:46:22 | __main__             | INFO     | start_background_tasks | 🔄 Starting background tasks
2025-09-05 18:46:27 | __main__             | INFO     | shutdown             | 🛑 Initiating graceful shutdown
2025-09-05 18:46:27 | __main__             | ERROR    | shutdown             | ❌ Error during shutdown: This Application is still running!
2025-09-05 18:46:27 | __main__             | INFO     | cleanup_resources    | 🧹 Resources cleaned up successfully
2025-09-06 19:59:07 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-06 19:59:07 | utils.cache_manager  | INFO     | __init__             | Cache Manager initialized: TTL={'enabled': True, 'type': 'memory', 'ttl': {'requests': 300, 'users': 600, 'stats': 180, 'duplicates': 120}, 'max_size': 1000, 'cleanup_interval': 300, 'redis_config': {'host': 'localhost', 'port': 6379, 'db': 0, 'password': None, 'decode_responses': True}}s, Memory=100MB
2025-09-06 19:59:07 | core.storage_manager | INFO     | __init__             | Cache mode enabled
2025-09-06 19:59:07 | __main__             | INFO     | _init_core_components | ✅ Core components initialized
2025-09-06 19:59:07 | utils.duplicate_detector | INFO     | __init__             | Duplicate Detector initialized with threshold: 0.8
2025-09-06 19:59:07 | utils.keyboards      | INFO     | __init__             | Keyboard Builder initialized
2025-09-06 19:59:07 | __main__             | INFO     | _init_utils          | ✅ Utils initialized
2025-09-06 19:59:07 | services.request_service | INFO     | __init__             | Request Service initialized
2025-09-06 19:59:07 | services.rating_service | INFO     | __init__             | Rating Service initialized
2025-09-06 19:59:07 | services.search_service | INFO     | __init__             | Search Service initialized
2025-09-06 19:59:07 | services.user_service | INFO     | __init__             | User Service initialized
2025-09-06 19:59:07 | __main__             | INFO     | _init_services       | ✅ Services initialized
2025-09-06 19:59:07 | __main__             | INFO     | _create_application  | ✅ Telegram Application created
2025-09-06 19:59:07 | __main__             | INFO     | _setup_handlers      | ✅ Handlers configured
2025-09-06 19:59:07 | __main__             | INFO     | _init_background_tasks | 🔄 Background tasks initialized
2025-09-06 19:59:07 | __main__             | INFO     | __init__             | ✅ Enhanced Pirate Bot initialized successfully
2025-09-06 19:59:07 | __main__             | INFO     | run                  | 🚀 Starting Enhanced Pirate Content Bot
2025-09-06 19:59:07 | __main__             | INFO     | health_check         | ✅ System health check passed
2025-09-06 19:59:08 | __main__             | INFO     | setup_bot_commands   | ✅ Bot commands configured
2025-09-06 19:59:08 | __main__             | INFO     | run                  | 🎬 Bot is now running!
2025-09-06 19:59:08 | __main__             | INFO     | start_background_tasks | 🔄 Starting background tasks
2025-09-06 20:05:58 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-06 20:05:58 | utils.cache_manager  | INFO     | __init__             | Cache Manager initialized: TTL={'enabled': True, 'type': 'memory', 'ttl': {'requests': 300, 'users': 600, 'stats': 180, 'duplicates': 120}, 'max_size': 1000, 'cleanup_interval': 300, 'redis_config': {'host': 'localhost', 'port': 6379, 'db': 0, 'password': None, 'decode_responses': True}}s, Memory=100MB
2025-09-06 20:05:58 | core.storage_manager | INFO     | __init__             | Cache mode enabled
2025-09-06 20:05:58 | __main__             | INFO     | _init_core_components | ✅ Core components initialized
2025-09-06 20:05:58 | utils.duplicate_detector | INFO     | __init__             | Duplicate Detector initialized with threshold: 0.8
2025-09-06 20:05:58 | utils.keyboards      | INFO     | __init__             | Keyboard Builder initialized
2025-09-06 20:05:58 | __main__             | INFO     | _init_utils          | ✅ Utils initialized
2025-09-06 20:05:58 | services.request_service | INFO     | __init__             | Request Service initialized
2025-09-06 20:05:58 | services.rating_service | INFO     | __init__             | Rating Service initialized
2025-09-06 20:05:58 | services.search_service | INFO     | __init__             | Search Service initialized
2025-09-06 20:05:58 | services.user_service | INFO     | __init__             | User Service initialized
2025-09-06 20:05:58 | __main__             | INFO     | _init_services       | ✅ Services initialized
2025-09-06 20:05:58 | __main__             | INFO     | _create_application  | ✅ Telegram Application created
2025-09-06 20:05:58 | __main__             | INFO     | _setup_handlers      | ✅ Handlers configured
2025-09-06 20:05:58 | __main__             | INFO     | _init_background_tasks | 🔄 Background tasks initialized
2025-09-06 20:05:58 | __main__             | INFO     | __init__             | ✅ Enhanced Pirate Bot initialized successfully
2025-09-06 20:05:58 | __main__             | INFO     | run                  | 🚀 Starting Enhanced Pirate Content Bot
2025-09-06 20:05:58 | __main__             | INFO     | health_check         | ✅ System health check passed
2025-09-06 20:05:59 | __main__             | INFO     | setup_bot_commands   | ✅ Bot commands configured
2025-09-06 20:05:59 | __main__             | INFO     | run                  | 🎬 Bot is now running!
2025-09-06 20:05:59 | __main__             | INFO     | start_background_tasks | 🔄 Starting background tasks
2025-09-06 20:06:54 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'אני רוצה לבדוק את הבוט...'
2025-09-06 20:06:54 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'AdvancedAutoResponseManager' object has no attribute 'get_response'
2025-09-06 20:07:10 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'מה נשמע?...'
2025-09-06 20:07:10 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'AdvancedAutoResponseManager' object has no attribute 'get_response'
2025-09-06 20:07:30 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'למה הוא עונה לי על כל הודעה?...'
2025-09-06 20:07:30 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'AdvancedAutoResponseManager' object has no attribute 'get_response'
2025-09-06 20:07:57 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'אפשר את הסדרה שובר שורות?...'
2025-09-06 20:07:57 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'AdvancedAutoResponseManager' object has no attribute 'get_response'
2025-09-06 20:08:47 | __main__             | INFO     | shutdown             | 🛑 Initiating graceful shutdown
2025-09-06 20:08:47 | __main__             | INFO     | shutdown             | ✅ Graceful shutdown completed
2025-09-06 20:08:47 | __main__             | INFO     | cleanup_resources    | 🧹 Resources cleaned up successfully
2025-09-06 20:14:04 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-06 20:14:04 | utils.cache_manager  | INFO     | __init__             | Cache Manager initialized: TTL={'enabled': True, 'type': 'memory', 'ttl': {'requests': 300, 'users': 600, 'stats': 180, 'duplicates': 120}, 'max_size': 1000, 'cleanup_interval': 300, 'redis_config': {'host': 'localhost', 'port': 6379, 'db': 0, 'password': None, 'decode_responses': True}}s, Memory=100MB
2025-09-06 20:14:04 | core.storage_manager | INFO     | __init__             | Cache mode enabled
2025-09-06 20:14:04 | __main__             | INFO     | _init_core_components | ✅ Core components initialized
2025-09-06 20:14:04 | utils.duplicate_detector | INFO     | __init__             | Duplicate Detector initialized with threshold: 0.8
2025-09-06 20:14:04 | utils.keyboards      | INFO     | __init__             | Keyboard Builder initialized
2025-09-06 20:14:04 | __main__             | INFO     | _init_utils          | ✅ Utils initialized
2025-09-06 20:14:04 | services.request_service | INFO     | __init__             | Request Service initialized
2025-09-06 20:14:04 | services.rating_service | INFO     | __init__             | Rating Service initialized
2025-09-06 20:14:04 | services.search_service | INFO     | __init__             | Search Service initialized
2025-09-06 20:14:04 | services.user_service | INFO     | __init__             | User Service initialized
2025-09-06 20:14:04 | __main__             | INFO     | _init_services       | ✅ Services initialized
2025-09-06 20:14:05 | __main__             | INFO     | _create_application  | ✅ Telegram Application created
2025-09-06 20:14:05 | __main__             | INFO     | _setup_handlers      | ✅ Handlers configured
2025-09-06 20:14:05 | __main__             | INFO     | _init_background_tasks | 🔄 Background tasks initialized
2025-09-06 20:14:05 | __main__             | INFO     | __init__             | ✅ Enhanced Pirate Bot initialized successfully
2025-09-06 20:14:05 | __main__             | INFO     | run                  | 🚀 Starting Enhanced Pirate Content Bot
2025-09-06 20:14:05 | __main__             | INFO     | health_check         | ✅ System health check passed
2025-09-06 20:14:05 | __main__             | INFO     | setup_bot_commands   | ✅ Bot commands configured
2025-09-06 20:14:05 | __main__             | INFO     | run                  | 🎬 Bot is now running!
2025-09-06 20:14:05 | __main__             | INFO     | start_background_tasks | 🔄 Starting background tasks
2025-09-06 20:14:27 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'עצמי...'
2025-09-06 20:14:27 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'AdvancedContentAnalyzer' object has no attribute 'analyze_advanced'
2025-09-06 20:14:33 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'שיט...'
2025-09-06 20:14:33 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'AdvancedContentAnalyzer' object has no attribute 'analyze_advanced'
2025-09-06 20:14:46 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'לא עובד כמו שצריך......'
2025-09-06 20:14:46 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'AdvancedContentAnalyzer' object has no attribute 'analyze_advanced'
2025-09-06 20:15:07 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'למה הוא עונה לי על כל הודעה?...'
2025-09-06 20:15:07 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'AdvancedContentAnalyzer' object has no attribute 'analyze_advanced'
2025-09-06 20:15:29 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'קלאוד, אם אתה שומע, תעשה משהו בקשר לזה!...'
2025-09-06 20:15:29 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'AdvancedContentAnalyzer' object has no attribute 'analyze_advanced'
2025-09-06 20:18:40 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-06 20:18:40 | utils.cache_manager  | INFO     | __init__             | Cache Manager initialized: TTL={'enabled': True, 'type': 'memory', 'ttl': {'requests': 300, 'users': 600, 'stats': 180, 'duplicates': 120}, 'max_size': 1000, 'cleanup_interval': 300, 'redis_config': {'host': 'localhost', 'port': 6379, 'db': 0, 'password': None, 'decode_responses': True}}s, Memory=100MB
2025-09-06 20:18:40 | core.storage_manager | INFO     | __init__             | Cache mode enabled
2025-09-06 20:18:40 | __main__             | INFO     | _init_core_components | ✅ Core components initialized
2025-09-06 20:18:40 | utils.duplicate_detector | INFO     | __init__             | Duplicate Detector initialized with threshold: 0.8
2025-09-06 20:18:40 | utils.keyboards      | INFO     | __init__             | Keyboard Builder initialized
2025-09-06 20:18:40 | __main__             | INFO     | _init_utils          | ✅ Utils initialized
2025-09-06 20:18:40 | services.request_service | INFO     | __init__             | Request Service initialized
2025-09-06 20:18:40 | services.rating_service | INFO     | __init__             | Rating Service initialized
2025-09-06 20:18:40 | services.search_service | INFO     | __init__             | Search Service initialized
2025-09-06 20:18:40 | services.user_service | INFO     | __init__             | User Service initialized
2025-09-06 20:18:40 | __main__             | INFO     | _init_services       | ✅ Services initialized
2025-09-06 20:18:40 | __main__             | INFO     | _create_application  | ✅ Telegram Application created
2025-09-06 20:18:40 | __main__             | INFO     | _setup_handlers      | ✅ Handlers configured
2025-09-06 20:18:40 | __main__             | INFO     | _init_background_tasks | 🔄 Background tasks initialized
2025-09-06 20:18:40 | __main__             | INFO     | __init__             | ✅ Enhanced Pirate Bot initialized successfully
2025-09-06 20:18:40 | __main__             | INFO     | run                  | 🚀 Starting Enhanced Pirate Content Bot
2025-09-06 20:18:40 | __main__             | INFO     | health_check         | ✅ System health check passed
2025-09-06 20:18:41 | __main__             | INFO     | setup_bot_commands   | ✅ Bot commands configured
2025-09-06 20:18:41 | __main__             | INFO     | run                  | 🎬 Bot is now running!
2025-09-06 20:18:41 | __main__             | INFO     | start_background_tasks | 🔄 Starting background tasks
2025-09-06 20:22:34 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-06 20:22:34 | utils.cache_manager  | INFO     | __init__             | Cache Manager initialized: TTL={'enabled': True, 'type': 'memory', 'ttl': {'requests': 300, 'users': 600, 'stats': 180, 'duplicates': 120}, 'max_size': 1000, 'cleanup_interval': 300, 'redis_config': {'host': 'localhost', 'port': 6379, 'db': 0, 'password': None, 'decode_responses': True}}s, Memory=100MB
2025-09-06 20:22:34 | core.storage_manager | INFO     | __init__             | Cache mode enabled
2025-09-06 20:22:34 | __main__             | INFO     | _init_core_components | ✅ Core components initialized
2025-09-06 20:22:34 | utils.duplicate_detector | INFO     | __init__             | Duplicate Detector initialized with threshold: 0.8
2025-09-06 20:22:34 | utils.keyboards      | INFO     | __init__             | Keyboard Builder initialized
2025-09-06 20:22:34 | __main__             | INFO     | _init_utils          | ✅ Utils initialized
2025-09-06 20:22:34 | services.request_service | INFO     | __init__             | Request Service initialized
2025-09-06 20:22:34 | services.rating_service | INFO     | __init__             | Rating Service initialized
2025-09-06 20:22:34 | services.search_service | INFO     | __init__             | Search Service initialized
2025-09-06 20:22:34 | services.user_service | INFO     | __init__             | User Service initialized
2025-09-06 20:22:34 | __main__             | INFO     | _init_services       | ✅ Services initialized
2025-09-06 20:22:34 | __main__             | INFO     | _create_application  | ✅ Telegram Application created
2025-09-06 20:22:34 | __main__             | INFO     | _setup_handlers      | ✅ Handlers configured
2025-09-06 20:22:34 | __main__             | INFO     | _init_background_tasks | 🔄 Background tasks initialized
2025-09-06 20:22:34 | __main__             | INFO     | __init__             | ✅ Enhanced Pirate Bot initialized successfully
2025-09-06 20:22:34 | __main__             | INFO     | run                  | 🚀 Starting Enhanced Pirate Content Bot
2025-09-06 20:22:34 | __main__             | INFO     | health_check         | ✅ System health check passed
2025-09-06 20:22:34 | __main__             | INFO     | setup_bot_commands   | ✅ Bot commands configured
2025-09-06 20:22:34 | __main__             | INFO     | run                  | 🎬 Bot is now running!
2025-09-06 20:22:34 | __main__             | INFO     | start_background_tasks | 🔄 Starting background tasks
2025-09-06 20:22:53 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'בדיקה...'
2025-09-06 20:22:53 | __main__             | INFO     | enhanced_message_handler | 🧠 Advanced analysis: confidence=0%, category=general
2025-09-06 20:22:53 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'UserService' object has no attribute 'update_interaction_stats'
2025-09-06 20:23:11 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'אני רוצה את הסדרה אווטאר...'
2025-09-06 20:23:11 | __main__             | INFO     | enhanced_message_handler | 🧠 Advanced analysis: confidence=50%, category=series
2025-09-06 20:23:11 | __main__             | ERROR    | _handle_medium_confidence_request | ❌ Error handling medium confidence request: 'KeyboardBuilder' object has no attribute 'get_maybe_request_keyboard'
2025-09-06 20:23:11 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'UserService' object has no attribute 'update_interaction_stats'
2025-09-06 20:23:23 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'אפשר בבקשה את הסדרה אווטאר?...'
2025-09-06 20:23:23 | __main__             | INFO     | enhanced_message_handler | 🧠 Advanced analysis: confidence=50%, category=series
2025-09-06 20:23:23 | __main__             | ERROR    | _handle_medium_confidence_request | ❌ Error handling medium confidence request: 'KeyboardBuilder' object has no attribute 'get_maybe_request_keyboard'
2025-09-06 20:23:23 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'UserService' object has no attribute 'update_interaction_stats'
2025-09-06 20:23:48 | __main__             | INFO     | enhanced_message_handler | 📨 Enhanced message from דובי (6562280181): 'קלאוד, תתקן את זה, זה לא נורמאלי שזה ככה!...'
2025-09-06 20:23:48 | __main__             | INFO     | enhanced_message_handler | 🧠 Advanced analysis: confidence=25%, category=general
2025-09-06 20:23:48 | __main__             | ERROR    | enhanced_message_handler | ❌ Error in enhanced message handler: 'UserService' object has no attribute 'update_interaction_stats'
2025-09-06 20:24:13 | __main__             | INFO     | shutdown             | 🛑 Initiating graceful shutdown
2025-09-06 20:24:13 | __main__             | INFO     | shutdown             | ✅ Graceful shutdown completed
2025-09-06 20:24:13 | __main__             | INFO     | cleanup_resources    | 🧹 Resources cleaned up successfully
2025-09-06 20:25:44 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-06 20:25:44 | utils.cache_manager  | INFO     | __init__             | Cache Manager initialized: TTL={'enabled': True, 'type': 'memory', 'ttl': {'requests': 300, 'users': 600, 'stats': 180, 'duplicates': 120}, 'max_size': 1000, 'cleanup_interval': 300, 'redis_config': {'host': 'localhost', 'port': 6379, 'db': 0, 'password': None, 'decode_responses': True}}s, Memory=100MB
2025-09-06 20:25:44 | core.storage_manager | INFO     | __init__             | Cache mode enabled
2025-09-06 20:25:44 | __main__             | INFO     | _init_core_components | ✅ Core components initialized
2025-09-06 20:25:44 | utils.duplicate_detector | INFO     | __init__             | Duplicate Detector initialized with threshold: 0.8
2025-09-06 20:25:44 | utils.keyboards      | INFO     | __init__             | Keyboard Builder initialized
2025-09-06 20:25:44 | __main__             | INFO     | _init_utils          | ✅ Utils initialized
2025-09-06 20:25:44 | services.request_service | INFO     | __init__             | Request Service initialized
2025-09-06 20:25:44 | services.rating_service | INFO     | __init__             | Rating Service initialized
2025-09-06 20:25:44 | services.search_service | INFO     | __init__             | Search Service initialized
2025-09-06 20:25:44 | services.user_service | INFO     | __init__             | User Service initialized
2025-09-06 20:25:44 | __main__             | INFO     | _init_services       | ✅ Services initialized
2025-09-06 20:25:44 | __main__             | INFO     | _create_application  | ✅ Telegram Application created
2025-09-06 20:25:44 | __main__             | INFO     | _setup_handlers      | ✅ Handlers configured
